no,cat,name,city,addr,lat,lng,src
163,어린이집,늘해랑어린이집,광양,전라남도 광양시 와룡길 33 706/103(광양읍 송보파인빌),34.9403,127.6959,approx-city
164,어린이집,다은어린이집,광양,"전라남도 광양시 광양읍 서북2길 115 광양읍, 이편한세상아파트 103동 내",34.9403,127.6959,approx-city
165,어린이집,더샵광양베이센트어린이집,광양,전라남도 광양시 황금1로 66 더샵광양베이센트아파트 단지 내,34.913137,127.635796,nominatim
166,어린이집,더샵프리모어린이집,광양,전라남도 광양시 성황수동로 13 더샵프리모성황아파트 단지 내,34.939564,127.678297,nominatim
167,어린이집,덕진광양의봄선샤인어린이집,광양,전라남도 광양시 광양읍 용강로 118 덕진광양의봄선샤인아파트 단지 내,34.9403,127.6959,approx-city
168,어린이집,덕진봄빛어린이집,광양,전라남도 광양시 중마로 369 덕진아파트 205동,34.951539,127.701826,nominatim
169,어린이집,덕진봄어린이집,광양,전라남도 광양시 광양읍 서평1길 9,34.9403,127.6959,approx-city
170,어린이집,덕진봄플러스어린이집,광양,전라남도 광양시 광양읍 덕산4길 86 덕진광양의봄플러스아파트 관리동 내,34.9403,127.6959,approx-city
171,어린이집,덕진키즈맘어린이집,광양,"전라남도 광양시 중마로 367 104동 104호(마동, 덕진광양의봄아파트 1단지내)",34.952513,127.70142,nominatim
172,어린이집,동심어린이집,광양,전라남도 광양시 광양읍 예구6길 20,34.9403,127.6959,approx-city
173,어린이집,동화나라어린이집,광양,전라남도 광양시 발섬1길 3-8,34.932346,127.699305,nominatim
174,어린이집,라온노르웨이숲어린이집,광양,전라남도 광양시 자작길 23 중마노르웨이숲아파트 단지 내,34.9403,127.6959,approx-city
175,어린이집,리베어린이집,광양,전라남도 광양시 광양읍 신재로 82,34.972724,127.589269,nominatim
176,어린이집,리베폴어린이집,광양,전라남도 광양시 진등2길 13 302동 1층,34.9403,127.6959,approx-city
