기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20240803,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,31,0,31,93000,283,87,370,849000,84.9
20240804,240712_01,앙리 마티스 LOVE & JAZZ,63,0,63,381000,1427,60,1487,8057000,40.3
20240804,240723_01,창작스튜디오 단기 입주작가전_이미경<나의 섬을 찾아서>,36,2,38,108000,319,89,408,957000,95.7
20240806,240712_01,앙리 마티스 LOVE & JAZZ,124,4,128,752000,1551,64,1615,8809000,44
20240807,240712_01,앙리 마티스 LOVE & JAZZ,54,10,64,306000,1605,74,1679,9115000,45.6
20240808,240712_01,앙리 마티스 LOVE & JAZZ,48,0,48,268000,1653,74,1727,9383000,46.9
20240809,240712_01,앙리 마티스 LOVE & JAZZ,84,0,84,512000,1737,74,1811,9895000,49.5
20240810,240712_01,앙리 마티스 LOVE & JAZZ,94,5,99,528000,1831,79,1910,10423000,52.1
20240810,240810_01,댕댕이의 하루,23,1,24,92000,23,1,24,92000,2.3
20240811,240712_01,앙리 마티스 LOVE & JAZZ,96,3,99,536000,1927,82,2009,10959000,54.8
20240811,240810_01,댕댕이의 하루,29,1,30,116000,52,2,54,208000,5.2
20240813,240712_01,앙리 마티스 LOVE & JAZZ,55,6,61,297000,1982,88,2070,11256000,56.3
20240813,240810_01,댕댕이의 하루,17,8,25,68000,69,10,79,276000,6.9
20240814,240712_01,앙리 마티스 LOVE & JAZZ,54,7,61,338000,2036,95,2131,11594000,58
20240814,240810_01,댕댕이의 하루,12,11,23,48000,81,21,102,324000,8.1
20240815,240712_01,앙리 마티스 LOVE & JAZZ,186,7,193,1060000,2222,102,2324,12654000,63.3
20240815,240810_01,댕댕이의 하루,11,6,17,44000,92,27,119,368000,9.2
20240816,240712_01,앙리 마티스 LOVE & JAZZ,79,2,81,423000,2301,104,2405,13077000,65.4
20240816,240810_01,댕댕이의 하루,32,0,32,128000,124,27,151,496000,12.4
20240817,240712_01,앙리 마티스 LOVE & JAZZ,79,1,80,435000,2380,105,2485,13512000,67.6
20240817,240810_01,댕댕이의 하루,30,0,30,120000,154,27,181,616000,15.4
20240818,240712_01,앙리 마티스 LOVE & JAZZ,93,2,95,523000,2473,107,2580,14035000,70.2
20240818,240810_01,댕댕이의 하루,33,2,35,132000,187,29,216,748000,18.7
20240820,240712_01,앙리 마티스 LOVE & JAZZ,29,3,32,169000,2502,110,2612,14204000,71
20240820,240810_01,댕댕이의 하루,2,1,3,8000,189,30,219,756000,18.9
20240821,240712_01,앙리 마티스 LOVE & JAZZ,21,10,31,107000,2523,120,2643,14311000,71.6
20240821,240810_01,댕댕이의 하루,10,5,15,40000,199,35,234,796000,19.9
20240822,240712_01,앙리 마티스 LOVE & JAZZ,6,2,8,34000,2529,122,2651,14345000,71.7
20240822,240810_01,댕댕이의 하루,4,0,4,16000,203,35,238,812000,20.3
20240823,240712_01,앙리 마티스 LOVE & JAZZ,27,3,30,141000,2556,125,2681,14486000,72.4
20240823,240810_01,댕댕이의 하루,3,0,3,12000,206,35,241,824000,20.6
20240824,240712_01,앙리 마티스 LOVE & JAZZ,78,2,80,446000,2634,127,2761,14932000,74.7
20240824,240810_01,댕댕이의 하루,11,0,11,44000,217,35,252,868000,21.7
20240825,240712_01,앙리 마티스 LOVE & JAZZ,117,1,118,655000,2751,128,2879,15587000,77.9
20240825,240810_01,댕댕이의 하루,9,0,9,36000,226,35,261,904000,22.6
20240827,240712_01,앙리 마티스 LOVE & JAZZ,11,0,11,57000,2762,128,2890,15644000,78.2
20240827,240810_01,댕댕이의 하루,8,0,8,32000,234,35,269,936000,23.4
20240828,240712_01,앙리 마티스 LOVE & JAZZ,33,1,34,171000,2795,129,2924,15815000,79.1
20240828,240810_01,댕댕이의 하루,5,1,6,20000,239,36,275,956000,23.9
