순번,구분,기관명,주소,우편번호
159,광양_어린이집,꿈이자라는어린이집,전라남도 광양시 광양읍 용강1길 12 205동 102호 (창덕에버빌아파트),
160,광양_어린이집,낙원어린이집,전라남도 광양시 옥곡면 금영로 257,
161,광양_어린이집,내친구어린이집,전라남도 광양시 느지매기길 25-16,
162,광양_어린이집,내품에어린이집,"전라남도 광양시 공영로 10 102동 105호(중동, 금광아파트)",
163,광양_어린이집,늘해랑어린이집,전라남도 광양시 와룡길 33 706/103(광양읍 송보파인빌),
164,광양_어린이집,다은어린이집,"전라남도 광양시 광양읍 서북2길 115 광양읍, 이편한세상아파트 103동 내",
165,광양_어린이집,더샵광양베이센트어린이집,전라남도 광양시 황금1로 66 더샵광양베이센트아파트 단지 내,
166,광양_어린이집,더샵프리모어린이집,전라남도 광양시 성황수동로 13 더샵프리모성황아파트 단지 내,
167,광양_어린이집,덕진광양의봄선샤인어린이집,전라남도 광양시 광양읍 용강로 118 덕진광양의봄선샤인아파트 단지 내,
168,광양_어린이집,덕진봄빛어린이집,전라남도 광양시 중마로 369 덕진아파트 205동,
169,광양_어린이집,덕진봄어린이집,전라남도 광양시 광양읍 서평1길 9,
170,광양_어린이집,덕진봄플러스어린이집,전라남도 광양시 광양읍 덕산4길 86 덕진광양의봄플러스아파트 관리동 내,
171,광양_어린이집,덕진키즈맘어린이집,"전라남도 광양시 중마로 367 104동 104호(마동, 덕진광양의봄아파트 1단지내)",
172,광양_어린이집,동심어린이집,전라남도 광양시 광양읍 예구6길 20,
173,광양_어린이집,동화나라어린이집,전라남도 광양시 발섬1길 3-8,
174,광양_어린이집,라온노르웨이숲어린이집,전라남도 광양시 자작길 23 중마노르웨이숲아파트 단지 내,
175,광양_어린이집,리베어린이집,전라남도 광양시 광양읍 신재로 82,
176,광양_어린이집,리베폴어린이집,전라남도 광양시 진등2길 13 302동 1층,
177,광양_어린이집,맘앤아이어린이집,"전라남도 광양시 진등6길 11 109동 102호(마동, 금광블루빌아파트)",
178,광양_어린이집,백합어린이집,전라남도 광양시 광양읍 용두1길 26-16,
179,광양_어린이집,보물섬어린이집,"전라남도 광양시 진등3길 6 중동, 대광로제비앙2차 아파트",
180,광양_어린이집,보은어린이집,전라남도 광양시 광양읍 유당로 64-3,
181,광양_어린이집,사랑가득어린이집,전라남도 광양시 진등길 64 송보파인빌뷰아파트 102동 102호(마동),
182,광양_어린이집,새나라어린이집,전라남도 광양시 광양읍 서평8길 9,
183,광양_어린이집,샛별어린이집,"전라남도 광양시 구마9길 11 중마, 주공2차관리사무소 2층",
184,광양_어린이집,세종어린이집,전라남도 광양시 광장로 112-11 태영1차아파트 단지 내,
185,광양_어린이집,송보나린어린이집,전라남도 광양시 진등길 55-5 송보5차아파트 관리동 내,
186,광양_어린이집,수시아어린이집,전라남도 광양시 광양읍 서산길 43 102동 104호(수시아아파트),
