uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1111	1093	대관	대극장	01시	[메인출력]제 2회 남도 전국 합창 경연 페스티벌	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110	1092	대관	대극장	2024.08.15 01시	[메인출력]통일기원음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109	1091	기획	대극장	2024.08.14 11시	[메인출력]GS칼텍스 예울마루 실내악 페스티벌 Part 2.	3	0	33.34	0	33.33	33.33	0	0	33.33	0	0	0	0	66.67
1108	1090	기획	대극장	2024.08.14 11시	GS칼텍스 예울마루 실내악 페스티벌 Part 1.	2	0	50	0	0	50	0	0	50	0	0	0	0	50
1107	1089	대관	대극장	2024.07.30 01시	[메인출력]캐치! 티니핑 <두근두근 싱어 롱 콘서트> - 여수	15	0	0	80	20	0	0	0	73.34	6.66	20	0	0	0
1106	1088	대관	대극장	2024.07.24 01시	[메인출력]2024 오누이 "우리들의 학창시절" 〈김용임,진성〉 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	1087	대관	대극장	2024.07.18 01시	[메인출력]여수심포니오케스트라 제 13회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104	1086	기획	대극장	2024.09.04 14시	[메인출력]브런치 콘서트 <그 어느 겨울보다 따뜻한>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	1085	기획	대극장	2024.09.26 14시	[메인출력]뮤지컬 <젠틀맨스 가이드: 사랑과 살인편>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	1084	대관	소극장	2024.07.04 11시	[메인출력]플루트 기타 듀오 N’kinSuh 리사이틀	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100	1083	대관	소극장	2024.07.03 01시	[메인출력]2024 WALD 스트링 오케스트라와 함께하는 청소년 협연의 밤	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1099	1082	대관	소극장	2024.06.25 14시	[메인출력]타악앙상블 META 제 4회 정기연주회 <헝가리안 소나타>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1098	1081	기획	소극장	2024.10.25 14시	[메인출력]연극 <시간을 파는 상점>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1097	1080	기획	대극장	2024.08.28 10시	[메인출력]뮤지컬 <오즈의 의류수거함>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1096	1079	대관	대극장	2024.06.20 14시	[메인출력]히사이시 조 영화음악 콘서트 2024_여수 앙코르	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1095	1078	기획	대극장	2024.06.21 14시	[메인출력]2024 뮤지컬 <장영실과 함께하는 별별GPT>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1094	1077	대관	소극장	01시	[메인출력]봄연주회 위풍당당 음악회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1093	1076	기획	대극장	2024.07.02 14시	[메인출력]어린이 뮤지컬 <친구의 전설>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1092	1075	기획	대극장	2024.06.05 14시	[메인출력]브런치콘서트 <앙리 마티스와 클래식, 그리고 "스캔들">	1	0	0	100	0	0	0	0	100	0	0	0	0	0
1091	1074	대관	대극장	01시	[메인출력]여수시립합창단 제 84회 정기연주회 <모짜르트 '레퀴엠'>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1090	1073	기획	대극장	2024.05.24 14시	[메인출력]뮤지컬 <노트르담 드 파리>	3	0	66.67	33.33	0	0	0	0	0	0	33.33	0	66.67	0
1089	1072	대관	소극장	2024.05.14 02시	[메인출력]앙상블여수 정기공연 연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1088	1071	기획	대극장	2024.05.22 14시	[메인출력]김지연,송영훈,조재혁과 함께 하는 트리오 인: 드보르자크	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1087	1070	대관	대극장	2024.05.13 10시	[메인출력]제 9회 2024 여수에코국제음악제	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1086	1069	대관	소극장	2024.05.08 01시	[메인출력]이음 스트링 챔버 오케스트라 제 5회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1085	1068	대관	대극장	2024.05.01 01시	[메인출력]어린이 뮤지컬 바다탐험대 옥토넛3 <바다넘어육지까지> - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1084	1067	대관	대극장	2024.05.01 01시	[메인출력]가족뮤지컬 〈뽀로로와 친구들의 드림콘서트 - 잃어버린 꿈을 찾아서〉 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1083	1066	대관	소극장	01시	[메인출력]2024 조이 오브 퍼커션 제 5회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1082	1065	기획	대극장	2024.04.30 16시	[메인출력]헬로! 오페라 <봄봄>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1081	1064	대관	소극장	2024.05.01 01시	[메인출력]2024 이후성 첼로 독주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1080	1063	기타	기타	01시	[GS칼텍스 예울마루WEEK] 장도 가족 소풍	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1079	1062	기획	기타	08시	[GS칼텍스 예울마루WEEK] 파크 콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1077	1061	기획	기타	20시	GS칼텍스 예울마루WEEK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1076	1060	대관	소극장	2024.03.21 01시	[메인출력]백은선 최옥산류 가야금 산조 독주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1075	1059	대관	소극장	2024.03.20 01시	[메인출력]루체 클라리넷 앙상블	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1074	1058	대관	대극장	2024.03.19 14시	[메인출력]최현우 Answer - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
